标题： 周锐：如果发现接机的全是蔡徐坤粉丝我一秒融入变成ikun  UP主： 可爱的男孩子们  播放量：28.5万
标题： 蔡徐坤广播体操：时代在召唤（群魔乱舞版）  UP主： 绝地科学茶  播放量：28.4万
标题： 2019跨年演唱会九大瞬间，李荣浩笑场、杨超越抢拍、经典假唱再次刷新  UP主： 吐槽阿西巴  播放量：28.4万
标题： 潘长江回应不认识蔡徐坤，蔡徐坤回应：我们别生气...  UP主： 吐槽阿西巴  播放量：28.4万
标题： 原来蔡徐坤的篮球舞是抄袭白熊！？  UP主： 某某栗_  播放量：28.2万
标题： 偶练后时代，哪家公司在用心做男团？深扒爱豆世纪乐华坤音觉醒【哇妹】【偶像练习生】  UP主： 哇哇哇妹  播放量：28.2万
标题： 【全明星】本草纲目  UP主： 一位帅骚年  播放量：28.2万
标题： 好好好，喝奶奶就喝奶奶 __ 【星动亚洲】【戴景耀】【蔡徐坤】【戴坤】【坤戴】  UP主： 摸个号来撸戴戴  播放量：28.1万
标题： Nine Percent幼稚爆料宿舍生活日常  UP主： 灵动的小N  播放量：28.1万
标题： 【蔡徐坤】 真• 鸡你太美！  UP主： 点点唐  播放量：27.9万
标题： 视觉中国是魔鬼吗？吴亦凡、张艺兴、蔡徐坤，到底谁更油腻！  UP主： 山口小菜菜  播放量：27.9万
标题： 【最高帧数手绘坤坤！】【终极版打篮球】蔡徐坤x谢广坤舞技battle 吴亦凡献声 倾情联袂 MV手书  UP主： 双马尾的麻薯  播放量：27.9万
标题： 激情解说蔡徐坤职业生涯五佳球，对不起蔡徐坤我欠你一个道歉  UP主： 二哥日记本  播放量：27.9万
标题： 头顶蔡徐坤两千万粉丝的压力，冒死做了他最爱吃的【芹菜炒牛肉】  UP主： 苓食_  播放量：27.8万
标题： 六小龄童和蔡徐坤回应恶搞鬼畜的不同态度  UP主： 32284204055_bili  播放量：27.8万
标题： 【特效向】蔡徐坤VS全明星  UP主： 豪言の经理  播放量：27.8万
标题： 【王霏霏】对【蔡徐坤】的印象  UP主： 小狮子八月呀  播放量：27.7万
标题： 蔡徐坤打篮球！  UP主： 你的世界0我的名字  播放量：23.3万
标题： 你好蔡徐坤。我是练习律师函两年半的B站。请听四面楚歌。  UP主： aluba1008  播放量：23.3万
标题： 蔡徐坤其实比很多批评他的人更MAN  更有思想  更优秀  UP主： 峰先生video  播放量：23.2万
标题： 【蔡徐坤】保加利亚球王！  UP主： 可爱的滑稽君_  播放量：23.2万
标题： 名场面！说唱诗人吴亦凡现场Freestyle爆炸骚气合辑！看完后你还敢怀疑他的skr实力吗?  UP主： 日叔丨  播放量：23.2万
标题： 【蔡徐坤】一个关于蔡三岁找可爱的视频  UP主： djdiss  播放量：23.2万
标题： 【nine percent】7.27武汉见面会（完整转载）武汉粉丝见面会 蔡徐坤陈立农范丞丞黄明昊林彦俊朱正廷王子异王琳凯尤长靖  UP主： Peace丨And丨Love  播放量：23.2万
标题： 7000,0000方块❤蔡徐坤在MC里打篮球！ikun打篮球我能看一天  UP主： 豹先生_NLT  播放量：23.1万
标题： 药水哥表演《鸡你太美》，完胜灌篮高手蔡徐坤。  UP主： 中国好声音药水哥  播放量：23.1万
标题： 给我妈看蔡徐坤和吴亦凡的名场面 她会更喜欢谁?  UP主： 吃萝卜的冬狼  播放量：23.1万
标题： 【烤鸡你太美】打球是鸡的必备技能，镇站之菜  UP主： 加薪食社  播放量：23.0万
标题： 黑子们闭嘴—蔡徐坤会扣篮，连奥尼尔都震惊了！！  UP主： 请放开那个姑娘  播放量：23.0万
标题： 周彦辰说在偶练里被蔡徐坤、灵超第一眼惊艳到，土味情话居然撩不动他，给丁泽仁发消息：兄弟想我没？  UP主： 可爱的男孩子们  播放量：23.0万
标题： 【9%团魂】这是什么Gay里Gay气修罗场？Justin吃尤长靖豆腐，和农农打台球拍大头贴，农农又被子异告白。  UP主： 白石Ayis  播放量：23.0万
标题： 第四场演出服装曝光 发带林彦俊性感导师程潇周洁琼白衣仙子朱正廷  UP主： 海棠karry  播放量：22.9万
标题： 谁才是蔡徐坤最强模仿者？中国有鸡美教父将为你评选  UP主： 椰墨格  播放量：22.9万
标题： 流量明星数据造假 央视报道流量明星数据造假问题  UP主： 锤子娱乐  播放量：22.9万
标题： 心酸！《新喜剧之王》滑铁卢 星爷自嘲早已过气 ！  UP主： 藤原的豆腐花店  播放量：22.8万
标题： B站的恶搞真是太过分了，我身为路人都看不下去了  UP主： 萌新JIANG  播放量：22.8万
标题： 【9%团魂|忙内Justin】蔡徐坤什么都陪他干 告诉陈立农“爽就叫出来”和小鬼互换对戒 皮皮贾飘的不是一点点  UP主： 白石Ayis  播放量：22.8万
标题： 在两军阵前跳鸡你太美的蔡徐坤  UP主： 86号咸鱼  播放量：24.6万
标题： 【孙笑川终极RAP】新津饶舌故事  UP主： ALing玲桑  播放量：24.5万
标题： 最终鬼畜鸡你太美  UP主： 黑妻-绵流  播放量：24.5万
标题： 【Nine Percent】快本开场舞《EIEI》十《Mack Daddy》  UP主： 闲鹿_  播放量：24.5万
标题： 【蔡徐坤单曲】以鸡之名（以父之名）  UP主： 纽毕斯  播放量：24.4万
标题： 【抽象有嘻哈】第二期 药水哥空降比赛 另一日本选手参赛  UP主： 0GreatOcean0  播放量：24.4万
标题： 【蔡徐坤】与导师合作舞台期间花絮（超纯净CUT！）更新至p7。【记得看简介！】  UP主： 黑漆柒  播放量：24.3万
标题： 【计算器】我居然用计算器弹出了鸡你太美！？  UP主： 利姆鲁大魔王鸭  播放量：24.3万
标题： 【nine percent】6.2和6.3 深圳见面会（全）深圳粉丝见面会  来源见简介 蔡徐坤陈立农范丞丞黄明昊林彦俊朱正廷王子异王琳凯尤长靖  UP主： Peace丨And丨Love  播放量：24.2万
标题： 那些模仿蔡徐坤打篮球的人够了！  UP主： Psychopath-雪茄  播放量：24.2万
标题： 这就是我为什么这么讨厌蔡徐坤的原因  UP主： 红豆杉木扇  播放量：24.2万
标题： 【蔡徐坤】性感坤坤 在线发函  UP主： 饺尽脑汁  播放量：24.2万
标题： 理性客观评价蔡徐坤打篮球动作的难度指数  UP主： 别看君  播放量：24.1万
标题： 【蔡徐坤】你们知道坤坤她有多努力吗？！你们就那么狠心黑她吗？！蔡徐坤鬼畜。  UP主： 43号徐神  播放量：24.1万
标题： 【蔡徐坤】震惊！坤坤居然跳过这种舞(*/ω＼*)  UP主： 凌依珥  播放量：24.1万
标题： 【nine percent】娱乐圈空瓶第一人范丞丞，成功让自己变成脑内C位  UP主： 机智到无敌的机智语  播放量：24.1万
标题： 【公开处刑】吴亦凡大碗宽面VS蔡徐坤鸡你太美，没有对比就没有伤害！！！  UP主： 白色花生酱  播放量：24.1万
标题： “照妖镜”视觉中国下偶像的真实颜值PK，你觉得谁的颜最能打（1）  UP主： CHINAIDOL偶像时代  播放量：24.1万
标题： 彭于晏 请冷静欣赏我的身体！请备好纸巾，很酷值得收藏  UP主： 日叔丨  播放量：24.0万
标题： 蔡徐坤，是头发加了特技  UP主： 是三皮啊  播放量：24.0万
标题： 和美女车在车里一起摇摆！逛车展！❤  UP主： 吃素的狮子  播放量：30.6万
标题： 【朱正廷】【蔡徐坤】【范丞丞】【黄明昊】我酷起来我自己都害怕  UP主： 童大佬今天也是小太阳  播放量：30.6万
标题： 【蔡徐坤】出球（出山)  UP主： 骚蹄fishsalty  播放量：30.4万
标题： 事实证明男人都是大猪蹄子  UP主： 沐辞辞辞  播放量：30.4万
标题： 《偶像练习生》幕后花絮：全体练习生diss小编，蔡徐坤最毒舌！  UP主： Galeno神  播放量：30.4万
标题： 【AI换脸】替蔡徐坤打篮球的人找到了（误解向）  UP主： 物理黄老师  播放量：30.2万
标题： 【蔡徐坤】早期海选跳EXO的舞，唱Rain的歌，还喜欢装B。  UP主： 是咸咸咸鱼啊  播放量：30.2万
标题： 桐人！你在做什么呀桐人!  UP主： 爱音乐的纸巾y  播放量：30.2万
标题： 蔡徐坤这运球什么水平？灵魂画手篇  UP主： 硬汉王阿邱  播放量：30.2万
标题： 【进击的坤坤】蔡徐坤乱入巨人后打篮球？？？？？？  UP主： 禁·冥穹  播放量：30.2万
标题： 【ninepercent】一群屁话精的采访  蔡队长表示很无奈  UP主： 草莓CC_kun  播放量：30.1万
标题： 更新稍清版 百分九少年们出道后的首次正式会面 官方集结送祝福 蔡徐坤陈立农林彦俊朱正廷王子异小鬼王琳凯尤长靖 偶像练习生 缺人版Nine Percent团体集合  UP主： wwnobody  播放量：30.0万
标题： IKUN进群五分钟就被踢，到底发生了什么？  UP主： 我不吃拌面  播放量：30.0万
标题： 宠粉狂魔蔡徐坤的骚话集  UP主： 云养困困  播放量：29.9万
标题： 【张大仙】大仙最强舞者参见  UP主： 一只胖头鱼o  播放量：29.8万
标题： 在ikun群里面发鸡你太美会怎么样  UP主： 凌桐road  播放量：29.7万
标题： 国家队主力翟晓川和中学生1v1单挑，气氛一度尴尬~这个运球你给几分  UP主： 日叔丨  播放量：29.7万
标题： 【蔡徐坤】评委都看不下去了。男子在选秀节目上模仿蔡徐坤，遭评委调侃。这个评委好眼熟啊？  UP主： 你的叠叠  播放量：29.6万
标题： 来的是蔡徐坤和来的是毛不易，同学们反应差距这么大的吗？  UP主： 娱乐百乐  播放量：29.6万
标题： 网络上那些模仿蔡徐坤老师灵魂运球的人才  UP主： 恐龙哈特  播放量：29.6万
标题： 大型公开处刑现场，明星读粉丝彩虹屁太羞耻了哈哈哈哈哈  UP主： 姨太的吃瓜大会  播放量：29.4万
标题： 【偶像练习生】巴比龙 蔡徐坤 王子异 卜凡 富贵贾  UP主： 林呵呵童鞋  播放量：29.4万
标题： 《偶像练习生》韩国国民制作人的PICK是谁① 【红红在首尔】  UP主： 红红在首尔  播放量：29.4万
标题： 【顶胯合集】感觉自己像个变态啊啊啊(●♡∀♡)  UP主： 濃濃的迪  播放量：29.3万
标题： 蔡徐坤粉丝反击了  UP主： 撒旦撒的开始啦  播放量：29.3万
标题： 蔡徐坤给B站送律师函？B站下架相关视频了吗？蔡徐坤寄律师函是怎么回事？  UP主： 宫崎狗沫  播放量：29.3万
标题： 蔡徐坤黑粉猖狂到什么地步！！！  UP主： -梨白-  播放量：29.3万
标题： “禁娘令”来势汹汹，丞丞蔡徐坤全染回黑发，他一成不变却被赞！  UP主： 老王隨便說频道  播放量：29.0万
标题： 中国首档偶像打歌节目开录！第一期六组嘉宾已经曝光，陈粒蔡徐坤周洁琼seventeen  UP主： canyourrr  播放量：29.0万
标题： 190317-蔡徐坤回应人气争议  UP主： August_babygirl  播放量：29.0万
标题： 【孙笑川&amp;吴亦凡&amp;蔡徐坤】抽象话（原曲：中国话）  UP主： 秋叶龙  播放量：29.0万
标题： 《蔡徐坤 - Wait Wait Wait》韩国人第一次看到的反应是?【朴鸣】  UP主： 朴鸣Piaoming  播放量：29.0万
标题： 【蔡徐坤篇】听说你们都在好奇《偶像练习生》主题曲C位的他？来来来，给你看！  UP主： CHINAIDOL偶像时代  播放量：28.9万
标题： 【蔡徐坤】雷军在小米发布会上看蔡徐坤打篮球？  UP主： 香辣果汁儿  播放量：28.9万
标题： 【oxlxs打脸合集】盘点一下底迪们的大型打脸现场  UP主： 安淇大人  播放量：28.9万
标题： 手动抠1800帧！孙笑川鸡你太美骚爆全场！还要替弟弟道歉！【舞台场景+动作数据配布】  UP主： 一个可丽饼  播放量：28.8万
标题： 【美人鱼名场面】我没在开玩笑了！我在球场遇到了坤坤！  UP主： 正義的夥伴老殷頭  播放量：28.8万
标题： 【偶像练习生】出道C位挑战 《Mack Daddy》组 蔡徐坤 陈立农 朱正廷 范丞丞 王子异 卜凡 钱正昊 朱星杰 秦奋 徐圣恩  UP主： wwnobody  播放量：28.8万
标题： 我是真的喜欢蔡徐坤啊啊啊啊！！！  UP主： 烤鸭不好吃  播放量：28.8万
标题： 你崩坏3打得像蔡徐坤  UP主： 前排提供瓜子饮料  播放量：28.8万
标题： 震惊，某男子在大学中模仿蔡徐坤引来围观  UP主： 我叫林三  播放量：34.0万
标题： 【律师函】广州地铁pids居然播放起了鸡你太美 蔡徐坤 旅客显示系统 电视  UP主： 炸鸡的咸鱼  播放量：34.0万
标题： 学校篮球联赛时突然跳起了蔡徐坤的鸡你太美  UP主： 沙瑞山  播放量：33.9万
标题： 【新津练习生】蔡徐坤哥哥打篮球  UP主： 白冴yyy  播放量：33.8万
标题： 特效向！蔡徐坤打篮球的真正水平！毫无悬念的对决  UP主： cxfws  播放量：33.6万
标题： 宝哥在b站上看蔡徐坤                              的粉丝怼大坤坤  UP主： 骑蜗牛娶淑芬  播放量：33.6万
标题： 【偶像假酒合集】看一次笑一次的“舞台事故”，看你们能忍住不笑多少分钟！  UP主： 安淇大人  播放量：33.5万
标题： 【恶搞蔡徐坤】当小狗看蔡徐坤打篮球会是什么反应？  UP主： 老外怎么看  播放量：33.5万
标题： 【梦幻共演】吴亦凡＆蔡徐坤＆孙笑川五环之歌  UP主： 猫店  播放量：33.5万
